ORF	ProteinID	LocusTag
cds4184	WP_012484540.1	RPHASCH2410_CH18215
cds4185	WP_012484541.1	RPHASCH2410_CH18220
cds4186	WP_012484542.1	RPHASCH2410_CH18225
cds4187	WP_012484543.1	RPHASCH2410_CH18230
cds4188	WP_016733625.1	RPHASCH2410_CH18235
cds4189	WP_016733626.1	RPHASCH2410_CH18240
cds4190	WP_016733627.1	RPHASCH2410_CH18245
cds4191	WP_016733628.1	RPHASCH2410_CH18250
cds4192	WP_016733629.1	RPHASCH2410_CH18255
cds4195	WP_029531404.1	RPHASCH2410_CH18270
cds4216	WP_016733643.1	RPHASCH2410_CH18375
cds4229	WP_029531410.1	RPHASCH2410_CH18440
cds4239	WP_012484386.1	RPHASCH2410_CH18490
cds4242	WP_029531372.1	RPHASCH2410_CH18505
cds4255	WP_016733518.1	RPHASCH2410_CH18575
cds4271	WP_016733533.1	RPHASCH2410_CH18665
cds4272	WP_039750664.1	RPHASCH2410_CH18670
cds4273	WP_016733534.1	RPHASCH2410_CH18675
cds4274	WP_016733535.1	RPHASCH2410_CH18680
cds4275	WP_016733536.1	RPHASCH2410_CH18685
cds4282	WP_016733540.1	RPHASCH2410_CH18715
cds4286	WP_016733543.1	RPHASCH2410_CH18735
cds4287	WP_016733544.1	RPHASCH2410_CH18740
cds4288	WP_016733545.1	RPHASCH2410_CH18745
cds4312	WP_016733560.1	RPHASCH2410_CH18860
cds4318	WP_016733565.1	RPHASCH2410_CH18895
cds4332	WP_010023406.1	RPHASCH2410_CH18965
cds4348	WP_016733580.1	RPHASCH2410_CH19045
cds4381	WP_012484239.1	RPHASCH2410_CH19215
cds4403	WP_029531341.1	RPHASCH2410_CH19335
cds4418	WP_010024558.1	RPHASCH2410_CH19410
cds4419	WP_012484275.1	RPHASCH2410_CH19415
cds4434	WP_029531346.1	RPHASCH2410_CH19490
cds4514	WP_016733488.1	RPHASCH2410_CH19895
cds4517	WP_016733492.1	RPHASCH2410_CH19910
cds4523	WP_046977141.1	RPHASCH2410_CH19940
cds4526	WP_012484378.1	RPHASCH2410_CH19955
cds4527	WP_016733499.1	RPHASCH2410_CH19960
cds4532	gbkey=CDS	
cds4575	WP_016733359.1	RPHASCH2410_CH20200
cds4586	WP_004672825.1	RPHASCH2410_CH20250
cds4597	WP_004677801.1	RPHASCH2410_RS03615
cds4598	WP_016737236.1	RPHASCH2410_CH03725
cds4601	WP_016737238.1	RPHASCH2410_CH03745
cds4607	WP_020465417.1	RPHASCH2410_CH03780
cds4614	WP_029532212.1	RPHASCH2410_CH03815
cds4627	WP_016737254.1	RPHASCH2410_CH03870
cds4645	WP_003585885.1	RPHASCH2410_CH03965
cds4653	WP_029532228.1	RPHASCH2410_CH04005
cds4676	WP_016737294.1	RPHASCH2410_CH04120
cds4679	WP_029532244.1	RPHASCH2410_CH04135
cds4687	WP_016737300.1	RPHASCH2410_CH04175
cds4692	WP_016737305.1	RPHASCH2410_CH04200
cds4693	WP_012485276.1	RPHASCH2410_CH04205
cds4694	WP_012485277.1	RPHASCH2410_CH04210
cds4695	WP_016737306.1	RPHASCH2410_CH04215
cds4701	WP_012485283.1	RPHASCH2410_CH04245
cds4702	WP_012485284.1	RPHASCH2410_CH04250
cds4703	WP_012485285.1	RPHASCH2410_CH04255
cds4704	WP_004678022.1	RPHASCH2410_CH04260
cds4715	WP_016737317.1	RPHASCH2410_CH04320
cds4730	WP_016737327.1	RPHASCH2410_CH04395
cds4731	WP_016737328.1	RPHASCH2410_CH04400
cds4732	WP_012485310.1	RPHASCH2410_CH04405
cds4737	WP_016737332.1	RPHASCH2410_RS04305
cds4738	WP_016737333.1	RPHASCH2410_CH04435
cds4739	WP_029532271.1	RPHASCH2410_CH04440
cds4740	WP_016737335.1	RPHASCH2410_CH04445
cds4753	WP_016737530.1	RPHASCH2410_CH04510
cds4784	WP_012485357.1	RPHASCH2410_CH04700
cds4788	WP_004671807.1	RPHASCH2410_CH04720
cds4807	WP_012485375.1	RPHASCH2410_CH04815
cds4808	WP_012485376.1	RPHASCH2410_CH04820
cds4827	WP_012485393.1	RPHASCH2410_CH04920
cds4832	WP_004671390.1	RPHASCH2410_CH04945
cds4849	WP_004679586.1	RPHASCH2410_CH05030
cds4850	WP_016736456.1	RPHASCH2410_CH05035
cds4853	WP_016736453.1	RPHASCH2410_CH05050
cds4854	WP_004679595.1	RPHASCH2410_CH05055
cds4855	WP_004679597.1	RPHASCH2410_CH05060
cds4899	WP_016736406.1	RPHASCH2410_CH05270
cds4905	WP_016736403.1	RPHASCH2410_CH05300
cds4906	WP_012485447.1	RPHASCH2410_CH05305
cds4913	WP_016736400.1	RPHASCH2410_CH05335
cds4929	WP_016736392.1	RPHASCH2410_CH05405
cds4930	WP_016736391.1	RPHASCH2410_CH05410
cds4942	WP_016736382.1	RPHASCH2410_CH05470
cds4943	WP_016736381.1	RPHASCH2410_CH05475
cds4944	WP_016736380.1	RPHASCH2410_CH05480
cds4945	WP_016736379.1	RPHASCH2410_CH05485
cds4946	WP_012485483.1	RPHASCH2410_CH05490
cds4947	WP_016736377.1	RPHASCH2410_CH05495
cds4948	WP_016736376.1	RPHASCH2410_CH05500
cds4949	WP_016736375.1	RPHASCH2410_CH05505
cds4976	WP_012485506.1	RPHASCH2410_CH05635
cds4980	WP_016736350.1	RPHASCH2410_CH05655
cds4981	WP_016736349.1	RPHASCH2410_CH05660
cds4987	WP_016736344.1	RPHASCH2410_CH05690
cds4988	WP_016736343.1	RPHASCH2410_CH05695
cds4989	WP_016736342.1	RPHASCH2410_CH05700
cds4990	WP_012485518.1	RPHASCH2410_CH05705
cds5008	WP_029531880.1	RPHASCH2410_CH05790
cds5009	WP_016736335.1	RPHASCH2410_CH05795
cds5017	gbkey=CDS	
cds5023	WP_012485544.1	RPHASCH2410_CH05860
cds5026	WP_016736326.1	RPHASCH2410_CH05875
cds5058	WP_016736307.1	RPHASCH2410_CH06040
cds5059	WP_016736306.1	RPHASCH2410_CH06045
cds5083	WP_003543812.1	RPHASCH2410_CH06170
cds5092	WP_011427210.1	RPHASCH2410_CH06215
cds5096	WP_012485601.1	RPHASCH2410_CH06240
cds5098	WP_012485603.1	RPHASCH2410_CH06250
cds5103	WP_012485607.1	RPHASCH2410_CH06275
cds5104	WP_016736281.1	RPHASCH2410_CH06280
cds5105	WP_016736280.1	RPHASCH2410_CH06285
cds5106	WP_016736279.1	RPHASCH2410_CH06290
cds5107	WP_016736278.1	RPHASCH2410_CH06295
cds5112	WP_008528334.1	RPHASCH2410_CH06320
cds5113	WP_016736273.1	RPHASCH2410_CH06325
cds5127	WP_016736261.1	RPHASCH2410_CH06395
cds5128	WP_016736260.1	RPHASCH2410_CH06400
cds5129	WP_016736259.1	RPHASCH2410_CH06405
cds5134	WP_016736255.1	RPHASCH2410_CH06430
cds5135	WP_016736254.1	RPHASCH2410_CH06440
cds5136	WP_004676172.1	RPHASCH2410_CH06445
cds5137	WP_012485632.1	RPHASCH2410_CH06450
cds5158	WP_004675276.1	RPHASCH2410_CH06565
cds5162	WP_016736236.1	RPHASCH2410_CH06585
cds5165	WP_010024973.1	RPHASCH2410_CH06600
cds5172	WP_029531858.1	RPHASCH2410_CH06635
cds5173	WP_016736226.1	RPHASCH2410_CH06640
cds5187	WP_010019544.1	RPHASCH2410_CH06710
cds5199	WP_008528706.1	RPHASCH2410_CH06770
cds5222	WP_016736193.1	RPHASCH2410_CH06885
cds5233	WP_016736183.1	RPHASCH2410_CH06940
cds5250	WP_012482121.1	RPHASCH2410_CH07030
cds5282	WP_039751506.1	RPHASCH2410_CH07220
cds5295	WP_012482163.1	RPHASCH2410_CH07285
cds5297	WP_012482165.1	RPHASCH2410_CH07295
cds5298	WP_012482166.1	RPHASCH2410_CH07300
cds5341	WP_016735158.1	RPHASCH2410_CH07515
cds5342	WP_016735157.1	RPHASCH2410_CH07520
cds5343	WP_029531690.1	RPHASCH2410_CH07530
cds5345	WP_016735154.1	RPHASCH2410_CH07540
cds5346	WP_012482211.1	RPHASCH2410_CH07545
cds5355	WP_016733259.1	RPHASCH2410_CH20290
cds5356	WP_012484068.1	RPHASCH2410_CH20295
cds5362	WP_046977143.1	RPHASCH2410_CH20330
cds5383	WP_016733282.1	RPHASCH2410_CH20435
cds5401	WP_016733295.1	RPHASCH2410_CH20530
cds5404	WP_016733298.1	RPHASCH2410_CH20545
cds5412	WP_016733305.1	RPHASCH2410_CH20585
cds5413	WP_004678436.1	RPHASCH2410_CH20590
cds5414	WP_016733306.1	RPHASCH2410_CH20595
cds5439	WP_003540486.1	RPHASCH2410_CH20725
cds5449	WP_016733325.1	RPHASCH2410_CH20775
cds5451	end_range=100646,.	RPHASCH2410_CH20785
cds5453	WP_016733208.1	RPHASCH2410_CH20795
cds5454	WP_008525884.1	RPHASCH2410_CH20800
cds5461	WP_029531256.1	RPHASCH2410_CH20840
cds5475	WP_016733219.1	RPHASCH2410_CH20910
cds5483	WP_029531262.1	RPHASCH2410_CH20960
cds5491	WP_016733231.1	RPHASCH2410_CH20995
cds5492	WP_016733233.1	RPHASCH2410_CH21000
cds5517	WP_016733120.1	RPHASCH2410_CH21120
cds5564	WP_012483948.1	RPHASCH2410_CH21365
cds5565	WP_012483949.1	RPHASCH2410_CH21370
cds5568	WP_016733154.1	RPHASCH2410_CH21385
cds5587	WP_004675609.1	RPHASCH2410_CH21480
cds5594	WP_029531237.1	RPHASCH2410_CH21515
cds5606	WP_004676258.1	RPHASCH2410_CH21570
cds5610	WP_016733183.1	RPHASCH2410_CH21590
cds5612	WP_046977151.1	RPHASCH2410_CH21600
cds5613	WP_016733185.1	RPHASCH2410_CH21605
cds5614	WP_016733186.1	RPHASCH2410_CH21610
cds5618	WP_012483988.1	RPHASCH2410_CH21630
cds5621	WP_012483991.1	RPHASCH2410_CH21645
cds5626	WP_012483995.1	RPHASCH2410_CH21670
cds5627	WP_010024905.1	RPHASCH2410_CH21675
cds5628	WP_004676212.1	RPHASCH2410_CH21680
cds5646	gbkey=CDS	
cds5647	WP_004673396.1	RPHASCH2410_CH07555
cds5648	WP_004673395.1	RPHASCH2410_CH07560
cds5649	WP_004673394.1	RPHASCH2410_CH07565
cds5659	end_range=11518,.	
cds5667	WP_004672641.1	RPHASCH2410_CH07640
cds5687	WP_004677177.1	RPHASCH2410_CH07745
cds5703	WP_004673514.1	RPHASCH2410_CH07825
cds5704	WP_016735120.1	RPHASCH2410_CH07830
cds5705	WP_016735119.1	RPHASCH2410_CH07835
cds5706	WP_016735118.1	RPHASCH2410_CH07840
cds5707	WP_016735117.1	RPHASCH2410_CH07845
cds5710	WP_004673526.1	RPHASCH2410_CH07860
cds5729	WP_004673556.1	RPHASCH2410_CH07965
cds5730	WP_004673557.1	RPHASCH2410_CH07970
cds5731	WP_016735102.1	RPHASCH2410_CH07975
cds5732	WP_004673564.1	RPHASCH2410_CH07980
cds5747	WP_004668690.1	RPHASCH2410_CH08055
cds5776	WP_016735074.1	RPHASCH2410_CH08205
cds5778	WP_016735072.1	RPHASCH2410_CH08215
cds5789	WP_003570998.1	RPHASCH2410_CH08275
cds5790	WP_004673860.1	RPHASCH2410_CH08280
cds5791	WP_016735064.1	RPHASCH2410_CH08285
cds5806	WP_016735051.1	RPHASCH2410_CH08360
cds5825	WP_016735033.1	RPHASCH2410_CH08460
cds5854	WP_016735010.1	RPHASCH2410_CH08615
cds5858	WP_016735006.1	RPHASCH2410_CH08630
cds5864	WP_016735000.1	RPHASCH2410_CH08660
cds5865	WP_016734999.1	RPHASCH2410_CH08665
cds5882	WP_008524652.1	RPHASCH2410_CH08755
cds5895	WP_012482410.1	RPHASCH2410_CH08825
cds5908	WP_004679829.1	RPHASCH2410_CH08890
cds5933	WP_003570770.1	RPHASCH2410_CH09015
cds5938	WP_029531659.1	RPHASCH2410_CH09040
cds5953	WP_012482454.1	RPHASCH2410_CH09115
cds5958	WP_010017635.1	RPHASCH2410_CH09140
cds5959	WP_012482459.1	RPHASCH2410_CH09145
cds5960	WP_016737600.1	RPHASCH2410_CH09150
cds5963	WP_004673114.1	RPHASCH2410_CH09165
cds5964	WP_008524438.1	RPHASCH2410_CH09170
cds5967	gbkey=CDS	
cds5971	WP_029531653.1	RPHASCH2410_CH09210
cds5981	WP_016734917.1	RPHASCH2410_CH09265
cds5982	WP_016734916.1	RPHASCH2410_CH09270
cds5983	WP_010024680.1	RPHASCH2410_CH09275
cds5984	WP_016734915.1	RPHASCH2410_CH09280
cds5988	WP_016734910.1	RPHASCH2410_CH09305
cds5989	WP_016734909.1	RPHASCH2410_CH09310
cds5992	WP_016734907.1	RPHASCH2410_CH09335
cds5993	WP_016734906.1	RPHASCH2410_CH09340
cds6000	WP_012482521.1	RPHASCH2410_CH09375
cds6044	WP_012482562.1	RPHASCH2410_CH09610
cds6047	WP_012482564.1	RPHASCH2410_CH09625
cds6053	WP_004673725.1	RPHASCH2410_CH09665
cds6064	WP_016734859.1	RPHASCH2410_CH09720
cds6081	WP_004675957.1	RPHASCH2410_CH09810
cds6083	WP_010010011.1	RPHASCH2410_CH09820
cds6089	WP_016734842.1	RPHASCH2410_CH09850
cds6106	WP_003545338.1	RPHASCH2410_CH09940
cds6133	WP_004674538.1	RPHASCH2410_CH10080
cds6135	WP_012482641.1	RPHASCH2410_CH10085
cds6136	WP_016734810.1	RPHASCH2410_CH10090
cds6137	WP_016734809.1	RPHASCH2410_CH10095
cds6156	WP_016734797.1	RPHASCH2410_CH10185
cds6230	WP_016734759.1	RPHASCH2410_CH10555
cds6232	WP_004673775.1	RPHASCH2410_CH10565
cds6249	WP_016734743.1	RPHASCH2410_CH10660
cds6250	WP_012482731.1	RPHASCH2410_CH10665
cds6259	WP_004676182.1	RPHASCH2410_CH10720
cds6260	WP_012482735.1	RPHASCH2410_CH10725
cds6261	WP_016734733.1	RPHASCH2410_RS10495
cds6262	WP_004676185.1	RPHASCH2410_RS10500
cds6276	WP_016734719.1	RPHASCH2410_CH10805
cds6288	WP_016734707.1	RPHASCH2410_CH10875
cds6289	WP_016734706.1	RPHASCH2410_CH10885
cds6297	WP_012482792.1	RPHASCH2410_CH10930
cds6308	WP_016734693.1	RPHASCH2410_CH10985
cds6312	WP_016734689.1	RPHASCH2410_CH11005
cds6325	WP_029531624.1	RPHASCH2410_CH11070
cds6337	WP_029531621.1	RPHASCH2410_CH11135
cds6366	WP_012482854.1	RPHASCH2410_CH11285
cds6369	WP_004675822.1	RPHASCH2410_CH11300
cds6370	WP_010004512.1	RPHASCH2410_CH11305
cds6375	WP_016734649.1	RPHASCH2410_CH11330
cds6376	WP_016734648.1	RPHASCH2410_CH11335
cds6382	WP_004672609.1	RPHASCH2410_CH11365
cds6383	WP_016734642.1	RPHASCH2410_CH11370
cds6384	WP_016734641.1	RPHASCH2410_CH11375
cds6394	WP_016734634.1	RPHASCH2410_CH11415
cds6406	WP_029531614.1	RPHASCH2410_CH11480
cds6413	WP_016734620.1	RPHASCH2410_CH11515
cds6416	WP_016734618.1	RPHASCH2410_CH11530
cds6417	WP_016734617.1	RPHASCH2410_CH11535
cds6419	WP_029531612.1	RPHASCH2410_CH11545
cds6429	WP_016734606.1	RPHASCH2410_CH11595
cds6443	WP_016734594.1	RPHASCH2410_CH11665
cds6444	WP_016734593.1	RPHASCH2410_CH11675
cds6449	gbkey=CDS	
cds6450	WP_012482921.1	RPHASCH2410_CH11700
cds6451	WP_016734590.1	RPHASCH2410_CH11705
cds6481	WP_016734570.1	RPHASCH2410_CH11870
cds6482	WP_010021814.1	RPHASCH2410_CH11875
cds6489	WP_016734566.1	RPHASCH2410_CH11910
cds6491	WP_016734564.1	RPHASCH2410_CH11925
cds6498	WP_016734557.1	RPHASCH2410_CH11960
cds6507	WP_016734549.1	RPHASCH2410_CH12000
cds6508	WP_016734548.1	RPHASCH2410_CH12005
cds6534	WP_016734523.1	RPHASCH2410_CH12140
cds6535	WP_016734522.1	RPHASCH2410_CH12145
cds154	WP_016736809.1	RPHASCH2410_PA00785
cds208	WP_029532139.1	RPHASCH2410_PA01040
cds245	WP_016737053.1	RPHASCH2410_PA01215
cds246	WP_016737052.1	RPHASCH2410_PA01220
cds252	WP_016737046.1	RPHASCH2410_PA01250
cds268	WP_004670792.1	RPHASCH2410_PA01335
cds269	WP_016737032.1	RPHASCH2410_PA01340
cds311	WP_016736991.1	RPHASCH2410_PA01550
cds324	WP_016736978.1	RPHASCH2410_PA01615
cds408	WP_016736700.1	RPHASCH2410_PB00280
cds475	gbkey=CDS	RPHASCH2410_PB00615
cds637	WP_046977160.1	RPHASCH2410_PB01410
cds748	WP_080515687.1	RPHASCH2410_CH19975
cds1079	WP_016737431.1	RPHASCH2410_PC01605
cds1326	WP_016735485.1	RPHASCH2410_PD00675
cds1327	WP_016735486.1	RPHASCH2410_PD00680
cds1399	WP_016735548.1	RPHASCH2410_PD01035
cds1682	WP_016735795.1	RPHASCH2410_PD02455
cds1728	WP_016735840.1	RPHASCH2410_PD02690
cds1729	WP_016735841.1	RPHASCH2410_PD02695
cds1897	WP_004669204.1	RPHASCH2410_PD03530
cds2056	WP_016736111.1	RPHASCH2410_PD04325
cds2057	WP_029531832.1	RPHASCH2410_PD04330
cds2111	end_range=922131,.	RPHASCH2410_PD04595
cds2198	WP_016735294.1	RPHASCH2410_PD05010
cds2199	WP_016735295.1	RPHASCH2410_PD05015
cds2200	WP_016735296.1	RPHASCH2410_PD05020
cds2462	WP_016734021.1	RPHASCH2410_CH00930
cds2485	WP_004669074.1	RPHASCH2410_CH01060
cds2492	WP_004669088.1	RPHASCH2410_CH01020
cds2492	WP_004669088.1	RPHASCH2410_CH01095
cds2500	WP_003573793.1	RPHASCH2410_CH01135
cds2512	WP_003547566.1	RPHASCH2410_CH01195
cds2519	WP_009995243.1	RPHASCH2410_CH01230
cds2520	WP_016734003.1	RPHASCH2410_CH01235
cds2882	WP_016733027.1	RPHASCH2410_CH03090
cds2942	WP_016733073.1	RPHASCH2410_CH03405
cds2961	WP_016733089.1	RPHASCH2410_CH03505
cds3070	WP_016734463.1	RPHASCH2410_CH12565
cds3072	WP_010022588.1	RPHASCH2410_CH12575
cds3165	WP_039751071.1	RPHASCH2410_CH13045
cds3227	WP_012483203.1	RPHASCH2410_CH13385
cds3235	WP_012483209.1	RPHASCH2410_CH13420
cds3236	WP_037113567.1	RPHASCH2410_CH13425
cds3237	WP_012483211.1	RPHASCH2410_CH13430
cds3247	WP_016734334.1	RPHASCH2410_CH13480
cds3248	WP_016734333.1	RPHASCH2410_CH13485
cds3457	WP_016734173.1	RPHASCH2410_CH14515
cds3476	gbkey=CDS	
cds3528	WP_012484719.1	RPHASCH2410_CH14865
cds3572	WP_016733791.1	RPHASCH2410_CH15090
cds3573	WP_016733792.1	RPHASCH2410_CH15095
cds3574	WP_016733793.1	RPHASCH2410_CH15100
cds3577	WP_016733796.1	RPHASCH2410_CH15115
cds3804	WP_016733951.1	RPHASCH2410_CH16250
cds3925	WP_016737177.1	RPHASCH2410_CH16895
cds4022	WP_010003937.1	RPHASCH2410_CH17400
cds4058	WP_029531425.1	RPHASCH2410_CH17580
cds4092	WP_016733714.1	RPHASCH2410_CH17755
cds4311	WP_004677216.1	RPHASCH2410_CH18855
cds4340	WP_016733576.1	RPHASCH2410_CH19005
cds4414	WP_012484272.1	RPHASCH2410_CH19395
cds4525	WP_004679676.1	RPHASCH2410_CH19950
cds4529	WP_016733501.1	RPHASCH2410_CH19970
cds4530	WP_080956170.1	RPHASCH2410_PC00025
cds4531	WP_016733502.1	RPHASCH2410_CH19980
cds4572	WP_016733355.1	RPHASCH2410_CH20185
cds4573	WP_016733357.1	RPHASCH2410_CH20190
cds4603	WP_012485198.1	RPHASCH2410_CH03755
cds4691	WP_029532252.1	RPHASCH2410_CH04195
cds4697	WP_016737308.1	RPHASCH2410_CH04225
cds4736	WP_016737331.1	RPHASCH2410_RS04300
cds4754	WP_016737529.1	RPHASCH2410_CH04515
cds4768	WP_012485342.1	RPHASCH2410_CH04585
cds4920	WP_012485458.1	RPHASCH2410_CH05365
cds4928	WP_016736393.1	RPHASCH2410_CH05400
cds4939	WP_012485476.1	RPHASCH2410_CH05455
cds4941	WP_016736383.1	RPHASCH2410_CH05465
cds4982	WP_016736348.1	RPHASCH2410_CH05665
cds4993	WP_012485520.1	RPHASCH2410_CH05715
cds5079	WP_029531871.1	RPHASCH2410_CH06150
cds5278	WP_016735212.1	RPHASCH2410_CH07200
cds5567	WP_016733153.1	RPHASCH2410_CH21380
cds5815	WP_016735042.1	RPHASCH2410_CH08405
cds5830	WP_016735029.1	RPHASCH2410_CH08485
cds5905	WP_012482416.1	RPHASCH2410_CH08875
cds5947	WP_016734943.1	RPHASCH2410_CH09085
cds5962	WP_029531655.1	RPHASCH2410_CH09160
cds5994	WP_012482516.1	RPHASCH2410_CH09345
cds6043	WP_012482561.1	RPHASCH2410_CH09605
cds6223	WP_016734763.1	RPHASCH2410_CH10515
cds6231	WP_016734758.1	RPHASCH2410_CH10560
cds6292	WP_016734703.1	RPHASCH2410_CH10905
cds6307	WP_016734694.1	RPHASCH2410_CH10980
cds6339	WP_016734672.1	RPHASCH2410_CH11145
cds25	WP_016736928.1	RPHASCH2410_PA00130
cds40	WP_016736912.1	RPHASCH2410_PA00210
cds58	WP_016736895.1	RPHASCH2410_PA00300
cds61	WP_016736892.1	RPHASCH2410_PA00315
cds62	WP_016736891.1	RPHASCH2410_PA00320
cds63	WP_039752298.1	RPHASCH2410_PA00325
cds115	WP_016736844.1	RPHASCH2410_PA00585
cds116	WP_039752308.1	RPHASCH2410_PA00590
cds117	WP_016736842.1	RPHASCH2410_PA00595
cds119	WP_016736839.1	RPHASCH2410_PA00605
cds256	WP_016737042.1	RPHASCH2410_PA01270
cds315	WP_016736987.1	RPHASCH2410_PA01570
cds334	WP_016736970.1	RPHASCH2410_PA01660
cds335	WP_016736969.1	RPHASCH2410_PA01665
cds378	WP_016736679.1	RPHASCH2410_PB00130
cds382	WP_012490613.1	RPHASCH2410_PB00150
cds385	WP_016736682.1	RPHASCH2410_PB00165
cds386	WP_012490616.1	RPHASCH2410_PB00170
cds388	gbkey=CDS	RPHASCH2410_PB00180
cds389	WP_029531971.1	RPHASCH2410_PB00185
cds390	WP_016736685.1	RPHASCH2410_PB00190
cds392	WP_016736686.1	RPHASCH2410_PB00200
cds393	WP_039752239.1	RPHASCH2410_PB00205
cds406	WP_016736698.1	RPHASCH2410_PB00270
cds407	WP_016736699.1	RPHASCH2410_PB00275
cds413	WP_016736705.1	RPHASCH2410_PB00310
cds416	WP_016736706.1	RPHASCH2410_PB00320
cds417	WP_012490645.1	RPHASCH2410_PB00325
cds459	WP_012490684.1	RPHASCH2410_PB00535
cds565	WP_016736508.1	RPHASCH2410_PB01060
cds601	WP_029531931.1	RPHASCH2410_PB01235
cds602	WP_016736539.1	RPHASCH2410_PB01240
cds617	WP_016736553.1	RPHASCH2410_PB01310
cds667	WP_016736594.1	RPHASCH2410_PB01555
cds984	WP_016737400.1	RPHASCH2410_PC01145
cds1065	WP_016737426.1	RPHASCH2410_PC01535
cds1070	WP_011053353.1	RPHASCH2410_PC01560
cds1074	WP_008534369.1	RPHASCH2410_PC01580
cds1086	WP_016737436.1	RPHASCH2410_PC01640
cds1195	WP_016735367.1	RPHASCH2410_PD00010
cds1290	WP_016735454.1	RPHASCH2410_PD00505
cds1305	WP_016735468.1	RPHASCH2410_PD00570
cds1318	WP_039751730.1	RPHASCH2410_PD00635
cds1389	WP_016735543.1	RPHASCH2410_PD00985
cds1405	WP_004674459.1	RPHASCH2410_PD01065
cds1556	WP_029531770.1	RPHASCH2410_PD01835
cds1557	WP_016735683.1	RPHASCH2410_PD01840
cds1559	WP_016735685.1	RPHASCH2410_PD01850
cds1574	WP_016735696.1	RPHASCH2410_PD01920
cds1600	WP_016735722.1	RPHASCH2410_PD02050
cds1604	end_range=413057,.	
cds1618	WP_016735739.1	RPHASCH2410_PD02135
cds1619	WP_016735740.1	RPHASCH2410_PD02140
cds1620	WP_016735741.1	RPHASCH2410_PD02145
cds1621	WP_004672121.1	RPHASCH2410_PD02150
cds1662	WP_016735777.1	RPHASCH2410_PD02355
cds1666	WP_016735780.1	RPHASCH2410_PD02375
cds1681	WP_029531785.1	RPHASCH2410_PD02450
cds1700	WP_016735811.1	RPHASCH2410_PD02545
cds1756	WP_016735863.1	RPHASCH2410_PD02830
cds1808	WP_016735911.1	RPHASCH2410_PD03080
cds1809	WP_016735912.1	RPHASCH2410_PD03085
cds1810	WP_016735913.1	RPHASCH2410_PD03090
cds1811	WP_016735914.1	RPHASCH2410_PD03095
cds1848	WP_029531803.1	RPHASCH2410_PD03285
cds1877	WP_016735970.1	RPHASCH2410_PD03435
cds1878	WP_016735971.1	RPHASCH2410_PD03440
cds1881	WP_016735974.1	RPHASCH2410_PD03455
cds1893	WP_004669196.1	RPHASCH2410_PD03510
cds1894	WP_029531810.1	RPHASCH2410_PD03515
cds1895	WP_016735986.1	RPHASCH2410_PD03520
cds1896	WP_016735987.1	RPHASCH2410_PD03525
cds1926	WP_004669265.1	RPHASCH2410_PD03670
cds1935	WP_016736016.1	RPHASCH2410_PD03715
cds2058	end_range=876515,.	RPHASCH2410_PD04335
cds2087	WP_016736140.1	RPHASCH2410_PD04475
cds2132	WP_016735235.1	RPHASCH2410_PD04700
cds2197	WP_016735293.1	RPHASCH2410_PD05005
cds2392	WP_012483400.1	RPHASCH2410_CH00555
cds2469	WP_012483469.1	RPHASCH2410_CH00965
cds2513	WP_016734006.1	RPHASCH2410_CH01200
cds2617	WP_039750162.1	RPHASCH2410_CH01740
cds2651	WP_016732883.1	RPHASCH2410_CH01900
cds2672	WP_016732899.1	RPHASCH2410_CH02005
cds2742	WP_010024961.1	RPHASCH2410_CH02385
cds2760	WP_004678616.1	RPHASCH2410_CH02475
cds2790	WP_012483692.1	RPHASCH2410_CH02620
cds2792	WP_012483694.1	RPHASCH2410_CH02630
cds2793	WP_016732969.1	RPHASCH2410_CH02635
cds2840	WP_016732995.1	RPHASCH2410_CH02875
cds2869	WP_016733019.1	RPHASCH2410_CH03025
cds2885	WP_016733029.1	RPHASCH2410_CH03105
cds2972	WP_016733100.1	RPHASCH2410_CH03565
cds2973	WP_010025202.1	RPHASCH2410_CH03570
cds2979	WP_016733104.1	RPHASCH2410_CH03600
cds2992	WP_016733115.1	RPHASCH2410_CH03665
cds3055	WP_016734475.1	RPHASCH2410_CH12485
cds3087	WP_016734453.1	RPHASCH2410_CH12650
cds3088	WP_016734452.1	RPHASCH2410_CH12655
cds3117	WP_004676027.1	RPHASCH2410_CH12800
cds3119	WP_010017118.1	RPHASCH2410_CH12810
cds3120	WP_016734425.1	RPHASCH2410_CH12815
cds3146	WP_016734407.1	RPHASCH2410_CH12945
cds3147	WP_016734406.1	RPHASCH2410_CH12950
cds3173	WP_029531565.1	RPHASCH2410_CH13085
cds3216	WP_046977117.1	RPHASCH2410_CH13320
cds3255	WP_016734328.1	RPHASCH2410_CH13520
cds3353	WP_016734255.1	RPHASCH2410_CH14020
cds3397	WP_016734222.1	RPHASCH2410_CH14230
cds3400	WP_016734220.1	RPHASCH2410_CH14245
cds3413	WP_029531538.1	RPHASCH2410_CH14310
cds3442	WP_003547190.1	RPHASCH2410_CH14440
cds3459	WP_010018343.1	RPHASCH2410_CH14530
cds3493	WP_016733738.1	RPHASCH2410_CH14690
cds3593	WP_016733805.1	RPHASCH2410_CH15195
cds3669	WP_029531474.1	RPHASCH2410_CH15580
cds3698	WP_016733885.1	RPHASCH2410_CH15720
cds3731	WP_016733912.1	RPHASCH2410_CH15885
cds3947	WP_029532180.1	RPHASCH2410_CH17015
cds3971	WP_016737204.1	RPHASCH2410_CH17145
