ORF	ProteinID	LocusTag
cds1015	WP_046977177.1	RPHASCH2410_PC01275
cds1016	WP_046977178.1	RPHASCH2410_PC01280
cds1017	WP_046977179.1	RPHASCH2410_PC01285
cds1018	WP_046977180.1	RPHASCH2410_RS24310
cds1028	WP_009995183.1	RPHASCH2410_PC01335
cds1032	WP_010031884.1	RPHASCH2410_PC01355
cds1045	WP_011053340.1	RPHASCH2410_PC01440
cds1064	WP_016737424.1	RPHASCH2410_PC01530
cds1076	WP_004671535.1	RPHASCH2410_PC01590
cds1077	WP_008534378.1	RPHASCH2410_PC01595
cds1078	WP_008534380.1	RPHASCH2410_PC01600
cds1088	WP_016737437.1	RPHASCH2410_PC01650
cds1089	WP_039752580.1	RPHASCH2410_PC01655
cds1115	WP_016737454.1	RPHASCH2410_PC01785
cds1116	WP_039752605.1	RPHASCH2410_PC01790
cds1196	WP_016735368.1	RPHASCH2410_PD00015
cds1210	WP_016735379.1	RPHASCH2410_PD00100
cds1211	WP_016735380.1	RPHASCH2410_PD00105
cds1212	WP_029531719.1	RPHASCH2410_PD00110
cds1241	WP_029531726.1	RPHASCH2410_PD00260
cds1243	WP_016735411.1	RPHASCH2410_PD00270
cds1244	WP_016735412.1	RPHASCH2410_PD00275
cds1245	WP_016735413.1	RPHASCH2410_PD00280
cds1317	WP_029531734.1	RPHASCH2410_PD00630
cds1347	WP_016735504.1	RPHASCH2410_PD00780
cds1369	WP_016735525.1	RPHASCH2410_PD00880
cds1370	WP_016735526.1	RPHASCH2410_PD00885
cds1390	WP_029531741.1	RPHASCH2410_PD00990
cds1391	WP_016735545.1	RPHASCH2410_PD00995
cds1404	WP_016735553.1	RPHASCH2410_PD01060
cds1423	WP_016735565.1	RPHASCH2410_PD01155
cds1424	WP_016735566.1	RPHASCH2410_PD01160
cds1425	gbkey=CDS	RPHASCH2410_PD01165
cds1444	WP_016735584.1	RPHASCH2410_PD01265
cds1445	WP_016735585.1	RPHASCH2410_PD01270
cds1461	WP_016735600.1	RPHASCH2410_PD01355
cds1462	WP_016735601.1	RPHASCH2410_PD01360
cds1465	WP_052766881.1	RPHASCH2410_PD01375
cds1480	WP_016735617.1	RPHASCH2410_PD01455
cds1554	WP_029531769.1	RPHASCH2410_PD01825
