Geneid	logFC	logCPM	F	PValue	adj.PVal	FDR	Locus	ID
cds2416	0.200707099965996	3.07178366357142	3.22299544523417	0.0998560714407732	0.123762011722786	0.123762011722786		gbkey=CDS
cds1951	-0.140322385298547	4.52031558717974	3.21901196039042	0.100041413628601	0.123950682294556	0.123950682294556	RPHASCH2410_PD03790	WP_029531814.1
cds4493	0.282104367178987	3.00755728890581	3.19176062522248	0.101320873450605	0.125494384290408	0.125494384290408	RPHASCH2410_CH19785	WP_016733474.1
cds1189	-0.160669505614851	5.88975607650739	3.18637781442795	0.101766057044791	0.12600408584805	0.12600408584805		gbkey=CDS
cds952	0.090034812968747	6.26263712815531	3.17930401136625	0.101912479737998	0.126143654649248	0.126143654649248		WP_008534146.1
cds4792	0.0759741589652154	8.59009317671769	3.17711764317747	0.102016759866655	0.126230985844922	0.126230985844922	RPHASCH2410_CH04740	WP_010002303.1
cds1005	-0.0847941358959607	7.25443657477163	3.17257257140171	0.102233964275956	0.126457940609684	0.126457940609684	RPHASCH2410_PC01235	WP_016737409.1
cds1356	0.08667184702995	7.20335732838543	3.16757233004524	0.102473584895651	0.126712463912924	0.126712463912924	RPHASCH2410_PD00825	WP_016735513.1
cds875	-0.446460364718513	4.76282496362345	3.69101090609957	0.102605911439012	0.126834189734551	0.126834189734551	RPHASCH2410_PC00640	WP_010034735.1
cds1470	-0.273042578665872	3.24730644535347	3.16221065356153	0.102731301945758	0.126947264173975	0.126947264173975	RPHASCH2410_PD01400	WP_029531751.1
cds2302	-0.478022255717146	1.46641239673721	3.13710939444395	0.103948600795468	0.128409113127867	0.128409113127867	RPHASCH2410_CH00085	WP_016734149.1
cds925	-0.0757240540952278	8.70923073371446	3.13324672966678	0.104137511446389	0.128600034755472	0.128600034755472	RPHASCH2410_PC00900	WP_077991555.1
cds857	0.308481944017572	2.52436443658728	3.07653661722922	0.106960821750859	0.132003518531711	0.132003518531711	RPHASCH2410_PC00560	WP_012489580.1
cds867	-0.135569585684607	4.43435243710754	3.07647035774647	0.106964175820409	0.132003518531711	0.132003518531711	RPHASCH2410_PC00605	WP_010023084.1
cds2016	-0.282779111737168	7.85830231854125	3.56635900201973	0.106999378900671	0.132003518531711	0.132003518531711	RPHASCH2410_PD04120	WP_016736082.1
