Geneid	Locus	ID	logFC
cds2959	RPHASCH2410_CH03495	WP_004671683.1	1.54422988887334
cds122	RPHASCH2410_PA00620	WP_016736836.1	1.18141866960349
cds4050	RPHASCH2410_CH17535	WP_012484631.1	1.16987036032958
cds3230	RPHASCH2410_CH13400	WP_016734344.1	1.10988557064242
cds1981		WP_016736056.1	1.24615096840489
cds2264	RPHASCH2410_PD05335	WP_016735349.1	1.08012783869253
cds691	RPHASCH2410_PB01675	WP_016736615.1	1.08005784791522
cds2207	RPHASCH2410_PD05055	WP_016735303.1	1.39943736725964
cds3767	RPHASCH2410_CH16065	WP_004675671.1	1.33636760640057
cds1017	RPHASCH2410_PC01285	WP_046977179.1	2.51271014016158
cds440	RPHASCH2410_PB00440	WP_016736721.1	1.07607901689073
cds2839	RPHASCH2410_CH02870	WP_016732994.1	1.3134959178415
cds2373	RPHASCH2410_CH00460	WP_016734077.1	1.02661781254955
cds2109	RPHASCH2410_PD04585	WP_016736159.1	1.22072749640925
cds2241	RPHASCH2410_PD05225	WP_016735333.1	1.12211372622461
cds2720	RPHASCH2410_CH02245	WP_016732925.1	1.14499373476309
cds463	RPHASCH2410_PB00555	WP_039752254.1	1.27024992630373
cds4732	RPHASCH2410_CH04405	WP_012485310.1	1.61013173642804
cds4081	RPHASCH2410_CH17700	WP_016733709.1	1.05496655653915
cds2705	RPHASCH2410_CH02170	WP_004671258.1	1.07594669981909
cds2209	RPHASCH2410_PD05065	WP_029531706.1	1.3691811766827
cds2265	RPHASCH2410_PD05340	WP_029531713.1	1.17613428919941
cds255	RPHASCH2410_PA01265	WP_016737043.1	1.53806915934445
cds2055	RPHASCH2410_PD04320	WP_016736110.1	1.0925510225211
cds1390	RPHASCH2410_PD00990	WP_029531741.1	2.07028738715035
cds1243	RPHASCH2410_PD00270	WP_016735411.1	1.21767220251474
cds4094	RPHASCH2410_CH17765	WP_012484668.1	1.17262630403199
cds2789	RPHASCH2410_CH02615	WP_016732967.1	1.01833788413228
cds2855	RPHASCH2410_CH02950	WP_016733007.1	1.14007476203041
cds1465	RPHASCH2410_PD01375	WP_052766881.1	1.30783927185781
cds2755		gbkey=CDS	1.10264281356173
cds1749	RPHASCH2410_PD02795	WP_016735856.1	1.32761895918135
cds1856	RPHASCH2410_PD03325	WP_016735951.1	1.21006609118881
cds1076	RPHASCH2410_PC01590	WP_004671535.1	1.16134626057738
cds3272		WP_010009317.1	1.49101464556234
cds4653	RPHASCH2410_CH04005	WP_029532228.1	1.11200343441628
cds3689	RPHASCH2410_CH15680	WP_029531478.1	1.01421821755669
cds1370	RPHASCH2410_PD00885	WP_016735526.1	1.19733494267495
cds1731	RPHASCH2410_PD02705	WP_016735843.1	1.3834159274603
cds2848	RPHASCH2410_CH02915	WP_004673807.1	1.44944657257691
cds468	RPHASCH2410_PB00580	WP_016736744.1	1.24031085618089
cds4381	RPHASCH2410_CH19215	WP_012484239.1	1.08550814172754
cds4740	RPHASCH2410_CH04445	WP_016737335.1	1.58959532805784
cds2915	RPHASCH2410_CH03265	WP_016733047.1	1.13231534293843
cds1570	RPHASCH2410_PD01905	WP_016735694.1	1.12494415906193
cds1823	RPHASCH2410_PD03160	WP_012490081.1	1.17862592636408
cds4305		WP_016733556.1	1.01481161449996
cds1660	RPHASCH2410_PD02345	WP_016735775.1	1.03793930893412
cds3256	RPHASCH2410_CH13525	WP_012483227.1	1.35082068067109
cds2086	RPHASCH2410_PD04470	WP_080956210.1	1.457779308142
cds5612	RPHASCH2410_CH21600	WP_046977151.1	1.37889151154404
cds3768	RPHASCH2410_CH16070	WP_004675675.1	1.21012021710882
cds324	RPHASCH2410_PA01615	WP_016736978.1	1.03723507771056
cds1568	RPHASCH2410_PD01895	WP_016735692.1	1.41340153174291
cds4737	RPHASCH2410_RS04305	WP_016737332.1	1.98555577704758
cds5626	RPHASCH2410_CH21670	WP_012483995.1	1.06908111101845
cds2021		gbkey=CDS	1.59438431174716
cds4832	RPHASCH2410_CH04945	WP_004671390.1	1.2004546739511
cds2034	RPHASCH2410_PD04205	WP_011428437.1	1.18872482074631
cds2706	RPHASCH2410_CH02175	WP_016732913.1	1.10341376927639
cds3741	RPHASCH2410_CH15935	WP_016733919.1	1.11847122042297
cds280	RPHASCH2410_PA01395	WP_029532110.1	2.18805970754649
cds278	RPHASCH2410_PA01385	WP_016737023.1	1.26403592903721
cds2484	RPHASCH2410_CH01055	WP_037113092.1	1.02272665895692
cds1423	RPHASCH2410_PD01155	WP_016735565.1	1.12623400286335
cds638	RPHASCH2410_PB01415	WP_016736567.1	1.11110873922028
cds2847	RPHASCH2410_CH02910	WP_016733002.1	1.19045750919116
cds4318	RPHASCH2410_CH18895	WP_016733565.1	1.08398501371497
cds2819	RPHASCH2410_CH02770	WP_003579112.1	1.08411512826473
cds4403	RPHASCH2410_CH19335	WP_029531341.1	1.24818076825411
cds5621	RPHASCH2410_CH21645	WP_012483991.1	1.02684509484352
cds2206	RPHASCH2410_PD05050	WP_016735302.1	2.03614545767798
cds428	RPHASCH2410_PB00380	WP_012490656.1	1.1643328856166
cds4929	RPHASCH2410_CH05405	WP_016736392.1	1.1976185082277
cds1444	RPHASCH2410_PD01265	WP_016735584.1	1.89708792617473
cds5864	RPHASCH2410_CH08660	WP_016735000.1	1.4433869846715
cds6535	RPHASCH2410_CH12145	WP_016734522.1	1.28707747415072
cds2868	RPHASCH2410_CH03020	WP_016733018.1	1.22063522903719
cds2032		end_range=861851,.	1.60988728318451
cds2877	RPHASCH2410_CH03065	WP_004673781.1	1.04901886576247
cds3225	RPHASCH2410_CH13370	WP_016734345.1	1.5353099339503
cds2823	RPHASCH2410_CH02790	WP_016732977.1	1.34197407443766
cds2108	RPHASCH2410_PD04580	WP_016736158.1	2.21286543589685
cds953		WP_077991546.1	1.19020559572709
cds2849	RPHASCH2410_CH02920	WP_046977064.1	1.37764787639888
cds6416	RPHASCH2410_CH11530	WP_016734618.1	1.60282366730867
cds1087	RPHASCH2410_PC01645	WP_008534389.1	1.0348170812405
cds1064	RPHASCH2410_PC01530	WP_016737424.1	1.43079623588795
cds4586	RPHASCH2410_CH20250	WP_004672825.1	1.47508998433072
cds1554	RPHASCH2410_PD01825	WP_029531769.1	1.10894653531328
cds2427	RPHASCH2410_CH00755	WP_004680054.1	1.05392243475104
cds2889	RPHASCH2410_CH03125	WP_004680228.1	1.67177865114106
cds1405	RPHASCH2410_PD01065	WP_004674459.1	1.05015060276245
cds4807	RPHASCH2410_CH04815	WP_012485375.1	1.32344070476961
cds2210	RPHASCH2410_PD05070	WP_016735306.1	1.17750075053187
cds152	RPHASCH2410_PA00775	WP_004677491.1	1.46249049107886
cds1665	RPHASCH2410_PD02370	WP_016735779.1	1.39317989407144
cds831	RPHASCH2410_PC00450	WP_010024000.1	1.47840166941226
cds434		WP_029531980.1	1.7050028559802
cds2110	RPHASCH2410_PD04590	WP_016736160.1	1.43507507305589
cds3711	RPHASCH2410_CH15785	WP_046977125.1	1.04884089981934
cds4575	RPHASCH2410_CH20200	WP_016733359.1	1.07624080244452
cds4704	RPHASCH2410_CH04260	WP_004678022.1	1.48219391432538
cds2064	RPHASCH2410_PD04360	WP_016736118.1	1.00002619982167
cds1028	RPHASCH2410_PC01335	WP_009995183.1	1.87059867628371
cds1241	RPHASCH2410_PD00260	WP_029531726.1	1.08375513094042
cds5854	RPHASCH2410_CH08615	WP_016735010.1	1.01717397603017
cds2896	RPHASCH2410_CH03160	WP_004680220.1	1.04350359111386
cds475		gbkey=CDS	1.01224063154073
cds4523	RPHASCH2410_CH19940	WP_046977141.1	1.11122593510348
cds1018	RPHASCH2410_RS24310	WP_046977180.1	1.35541993713283
cds1743	RPHASCH2410_PD02765	WP_004677391.1	1.8888440405698
cds4395	RPHASCH2410_CH19290	WP_016733397.1	1.07001619614419
cds521	RPHASCH2410_PB00840	WP_016736787.1	1.29031679491318
cds886	RPHASCH2410_PC00700	WP_004677759.1	1.33008563207545
cds1007		WP_016737410.1	2.91980545588612
cds2943	RPHASCH2410_CH03410	WP_016733074.1	1.05487388659188
cds353	RPHASCH2410_PB00015	WP_016736659.1	1.06163358921934
cds6482	RPHASCH2410_CH11875	WP_010021814.1	1.43747054750143
cds5865	RPHASCH2410_CH08665	WP_016734999.1	1.31941490458959
cds124	RPHASCH2410_PA00630	WP_016736834.1	1.05361922576951
cds4514	RPHASCH2410_CH19895	WP_016733488.1	1.11118621561556
cds4317	RPHASCH2410_CH18890	WP_029531389.1	1.0472837893194
cds1089	RPHASCH2410_PC01655	WP_039752580.1	1.15413586449783
cds1569	RPHASCH2410_PD01900	WP_039751813.1	1.08468246428563
cds250	RPHASCH2410_PA01240	WP_016737048.1	1.16107438869982
cds247	RPHASCH2410_PA01225	WP_016737051.1	1.32393508536879
cds2832		end_range=532190,.	1.47422992505573
cds1557	RPHASCH2410_PD01840	WP_016735683.1	1.02006394037753
cds4304	RPHASCH2410_CH18820	WP_029531385.1	1.0117693296257
cds6406	RPHASCH2410_CH11480	WP_029531614.1	1.25120818364362
cds4332	RPHASCH2410_CH18965	WP_010023406.1	1.34075143540055
cds153	RPHASCH2410_PA00780	WP_029532026.1	1.30322855101363
cds977	RPHASCH2410_PC01115	WP_008534165.1	1.0230683957194
cds1078	RPHASCH2410_PC01600	WP_008534380.1	1.45432239936166
cds724	RPHASCH2410_PB01840	WP_016736641.1	1.22806890750775
cds2845	RPHASCH2410_CH02900	WP_012483744.1	1.12964488851139
cds4396	RPHASCH2410_CH19295	WP_016733398.1	1.04052570248415
cds1603	RPHASCH2410_PD02065	WP_016735725.1	1.36228448248928
cds1196	RPHASCH2410_PD00015	WP_016735368.1	1.39820165380979
cds495	RPHASCH2410_PB00710	WP_016736765.1	1.02141787064329
cds1794	RPHASCH2410_PD03015	WP_016735897.1	1.10748900840338
cds4701	RPHASCH2410_CH04245	WP_012485283.1	1.26370376043254
cds2278	RPHASCH2410_PD05400	WP_080956221.1	1.24682434459681
cds1987		gbkey=CDS	1.72494941856772
cds1006	RPHASCH2410_PC01240	WP_077991535.1	1.2689134661868
cds5618	RPHASCH2410_CH21630	WP_012483988.1	1.20295112472642
cds1578	RPHASCH2410_PD01940	WP_016735700.1	4.42634183663414
cds3254	RPHASCH2410_CH13515	WP_039751042.1	1.20228211648884
cds2833		gbkey=CDS	1.49784304004956
cds4676	RPHASCH2410_CH04120	WP_016737294.1	1.26493786673904
cds6534	RPHASCH2410_CH12140	WP_016734523.1	2.23880943895703
cds509	RPHASCH2410_PB00780	WP_016736775.1	1.13948695472816
cds1016	RPHASCH2410_PC01280	WP_046977178.1	1.42124460085199
cds302	RPHASCH2410_PA01505	WP_016737000.1	1.28310120198714
cds409	RPHASCH2410_PB00285	WP_016736701.1	1.46979657029055
cds2244	RPHASCH2410_PD05240	WP_016735336.1	1.6875829483958
cds1212	RPHASCH2410_PD00110	WP_029531719.1	1.26495924431727
cds1391	RPHASCH2410_PD00995	WP_016735545.1	1.41555323513553
cds425	RPHASCH2410_PB00365	WP_016736713.1	1.16963003907113
cds2249	RPHASCH2410_PD05265	WP_004678740.1	1.10903219441139
cds410	RPHASCH2410_PB00290	WP_016736702.1	1.13707539454243
