Geneid	Locus	ID	logFC
cds643	RPHASCH2410_PB01440	WP_004669729.1	-1.57597462804652
cds1683	RPHASCH2410_PD02460	WP_016735796.1	-1.87811271662635
cds503	RPHASCH2410_PB00750	WP_004668299.1	-1.93678465493739
cds6519	RPHASCH2410_CH12065	WP_016734537.1	-1.69838702317475
cds2044		gbkey=CDS	-1.41638350808294
cds2918	RPHASCH2410_CH03280	WP_029531199.1	-2.04153440058227
cds1593	RPHASCH2410_PD02015	WP_016735715.1	-1.99894831181095
cds4887	RPHASCH2410_CH05215	WP_010034930.1	-1.44696972245954
cds717	RPHASCH2410_PB01805	WP_016736637.1	-2.03225474922203
cds782	RPHASCH2410_PC00190	WP_012489553.1	-1.92985408152017
cds4338	RPHASCH2410_CH18995	WP_012484469.1	-1.62210243160291
cds718	RPHASCH2410_PB01810	WP_016736638.1	-1.93888711937825
cds2225	RPHASCH2410_PD05145	WP_004671480.1	-1.7318868916404
cds1676	RPHASCH2410_PD02425	WP_016735790.1	-2.24293529288727
cds843	RPHASCH2410_PC00500	WP_011053470.1	-1.99181804346766
cds4540	RPHASCH2410_CH20025	WP_012484160.1	-1.6243535117412
cds1699	RPHASCH2410_PD02540	WP_016735810.1	-1.33756530580742
cds3728	RPHASCH2410_CH15870	WP_016733909.1	-1.40118556837221
cds1707	RPHASCH2410_PD02580	WP_016735818.1	-1.68155616692501
cds1537	RPHASCH2410_PD01740	WP_012489849.1	-2.70994047477823
cds4706	RPHASCH2410_CH04270	WP_004678026.1	-2.07104115790731
cds4629	RPHASCH2410_CH03880	WP_016737256.1	-1.90518270007365
cds1864	RPHASCH2410_PD03370	WP_016735959.1	-1.75908745722546
cds2141	RPHASCH2410_PD04740	WP_016735243.1	-1.38212968095756
cds110	RPHASCH2410_PA00560	WP_080956223.1	-1.6213120473543
cds320	RPHASCH2410_PA01595	WP_016736982.1	-1.3564561665793
cds104	RPHASCH2410_PA00530	WP_016736852.1	-1.23915860778041
cds2228	RPHASCH2410_PD05160	WP_016735321.1	-1.27067663489008
cds2380	RPHASCH2410_CH00495	WP_016734072.1	-1.27292398993493
cds2957	RPHASCH2410_CH03480	WP_016733087.1	-2.01991262583096
cds1457	RPHASCH2410_PD01340	WP_016735598.1	-2.41047225962277
cds1761	RPHASCH2410_PD02855	WP_016735866.1	-1.17472481934145
cds652	RPHASCH2410_PB01485	WP_016736580.1	-1.32950834236266
cds853	RPHASCH2410_PC00545	WP_004674399.1	-1.26189628822731
cds4680	RPHASCH2410_CH04140	WP_016737297.1	-1.28860958591465
cds2127		WP_046977246.1	-1.92368370910743
cds4344	RPHASCH2410_CH19025	WP_016733577.1	-1.80049372274022
cds1689	RPHASCH2410_PD02495	WP_004678167.1	-1.81155010927645
cds2121		WP_080956212.1	-1.20669186439962
cds4547	RPHASCH2410_CH20060	WP_010024507.1	-1.56881594255056
cds4613	RPHASCH2410_CH03810	WP_004677837.1	-1.70008239547628
cds6403	RPHASCH2410_CH11465	WP_004680407.1	-1.68941807981489
cds2901	RPHASCH2410_CH03185	WP_029531192.1	-1.48093792231274
cds505	RPHASCH2410_PB00760	WP_016736771.1	-1.66412371617524
cds6510	RPHASCH2410_RS11740	WP_016734546.1	-1.84591200471966
cds3682	RPHASCH2410_CH15645	WP_016733874.1	-1.61161433844676
cds708	RPHASCH2410_PB01760	WP_016736630.1	-1.48239250893734
cds4612	RPHASCH2410_CH03805	WP_016737244.1	-1.75745007489074
cds2371	RPHASCH2410_CH00450	WP_009996470.1	-1.25262568799476
cds1475	RPHASCH2410_PD01430	WP_046977211.1	-1.58400198102807
cds530	RPHASCH2410_PB00885	WP_016736794.1	-1.66056874602298
cds1592	RPHASCH2410_PD02010	WP_016735714.1	-1.70519551783537
cds1262	RPHASCH2410_PD00365	WP_016735429.1	-2.16003006220651
cds1837	RPHASCH2410_PD03230	WP_016735933.1	-1.37116120925786
cds4437	RPHASCH2410_CH19510	WP_029531347.1	-2.16651425893259
cds2080	RPHASCH2410_PD04440	WP_016736134.1	-1.34068236693222
cds4580	RPHASCH2410_CH20225	WP_016733363.1	-1.3068696109429
cds4341	RPHASCH2410_CH19010	WP_012484472.1	-1.1604022855131
cds2079	RPHASCH2410_PD04435	WP_016736133.1	-1.65332293914872
cds1644	RPHASCH2410_PD02265	WP_016735761.1	-1.53783867190558
